Fechas,Casos,Defunciones,Casospor100k,Defuncionespor100k,G60,G50,G40,G30,G20,G10,G00,D60,D50,D40,D30,D20,D10,D00
2020-03-07,1,0.0,0.07014555904958379,0.0,0.0,0.7519588528115742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,1,0.0,0.07014555904958379,0.0,0.0,0.0,0.5648217704903218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,1,0.0,0.07014555904958379,0.0,0.0,0.0,0.5648217704903218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,1,0.0,0.07014555904958379,0.0,0.0,0.0,0.0,0.0,0.4074215917146745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,1,0.0,0.07014555904958379,0.0,0.687871450583315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,2,0.0,0.14029111809916758,0.0,0.0,0.7519588528115742,0.0,0.0,0.4074215917146745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,2,0.0,0.14029111809916758,0.0,0.0,0.0,1.1296435409806436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,4,0.0,0.28058223619833517,0.0,0.0,0.0,1.1296435409806436,0.970487475859124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,2,0.0,0.14029111809916758,0.0,0.0,0.0,0.0,0.0,0.4074215917146745,0.3821402913437581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,3,0.0,0.21043667714875136,0.0,1.37574290116663,0.0,0.0,0.0,0.4074215917146745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,5,0.0,0.35072779524791897,0.0,0.687871450583315,0.7519588528115742,0.5648217704903218,0.485243737929562,0.4074215917146745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,9,0.0,0.6313100314462541,0.0,0.687871450583315,2.2558765584347222,1.6944653114709654,0.970487475859124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,5,0.0,0.35072779524791897,0.0,0.687871450583315,1.5039177056231483,0.0,0.0,0.4074215917146745,0.0,0.3914231362387368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
