Fechas,Casos,Defunciones,Casospor100k,Defuncionespor100k,G60,G50,G40,G30,G20,G10,G00,D60,D50,D40,D30,D20,D10,D00
2020-03-12,2,0.0,0.053449225507360094,0.0,0.0,0.25408505243045054,0.0,0.18542108200618193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,1,0.0,0.026724612753680047,0.0,0.0,0.0,0.0,0.0,0.16330103238912677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,1,0.0,0.026724612753680047,0.0,0.0,0.0,0.0,0.0,0.0,0.15150413303274912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,1,0.0,0.026724612753680047,0.0,0.0,0.0,0.0,0.0,0.16330103238912677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,1,0.0,0.026724612753680047,0.0,0.0,0.0,0.0,0.18542108200618193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,3,0.0,0.08017383826104013,0.0,0.0,0.25408505243045054,0.3995964076282954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,2,0.0,0.053449225507360094,0.0,0.0,0.0,0.0,0.0,0.32660206477825354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,5,0.0,0.13362306376840022,0.0,0.23819675528379952,0.5081701048609011,0.0,0.0,0.32660206477825354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,3,0.0,0.08017383826104013,0.0,0.23819675528379952,0.25408505243045054,0.0,0.0,0.0,0.15150413303274912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,2,0.0,0.053449225507360094,0.0,0.23819675528379952,0.25408505243045054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,2,0.0,0.053449225507360094,0.0,0.0,0.25408505243045054,0.0,0.18542108200618193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,4,0.0,0.10689845101472019,0.0,0.0,0.5081701048609011,0.1997982038141477,0.18542108200618193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,5,0.0,0.13362306376840022,0.0,0.23819675528379952,0.0,0.3995964076282954,0.37084216401236386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,7,0.0,0.18707228927576033,0.0,0.23819675528379952,0.25408505243045054,0.7991928152565908,0.0,0.16330103238912677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,2,0.0,0.053449225507360094,0.0,0.23819675528379952,0.0,0.0,0.18542108200618193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,9,0.0,0.24052151478312042,0.0,0.23819675528379952,0.5081701048609011,0.3995964076282954,0.7416843280247277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,8,0.0,0.21379690202944038,0.0,0.47639351056759904,0.5081701048609011,0.3995964076282954,0.18542108200618193,0.16330103238912677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,7,0.0,0.18707228927576033,0.0,0.23819675528379952,0.5081701048609011,0.3995964076282954,0.37084216401236386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,10,1.0,0.26724612753680044,0.026724612753680047,0.7145902658513985,0.5081701048609011,0.7991928152565908,0.0,0.16330103238912677,0.0,0.0,0.0,0.25408505243045054,0.0,0.0,0.0,0.0,0.0
2020-04-01,13,0.0,0.3474199657978406,0.0,0.7145902658513985,0.0,0.9989910190707385,0.9271054100309096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,17,0.0,0.4543184168125608,0.0,0.7145902658513985,1.0163402097218022,0.7991928152565908,0.5562632460185458,0.32660206477825354,0.15150413303274912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,18,4.0,0.48104302956624084,0.10689845101472019,1.1909837764189977,1.0163402097218022,0.9989910190707385,0.37084216401236386,0.16330103238912677,0.15150413303274912,0.0,0.23819675528379952,0.25408505243045054,0.3995964076282954,0.0,0.0,0.0,0.0
2020-04-04,11,2.0,0.2939707402904805,0.053449225507360094,0.47639351056759904,0.7622551572913516,0.3995964076282954,0.5562632460185458,0.16330103238912677,0.0,0.0,0.23819675528379952,0.25408505243045054,0.0,0.0,0.0,0.0,0.0
2020-04-05,14,2.0,0.37414457855152067,0.053449225507360094,1.6673772869865966,0.7622551572913516,0.5993946114424431,0.18542108200618193,0.0,0.0,0.0,0.23819675528379952,0.0,0.1997982038141477,0.0,0.0,0.0,0.0
2020-04-06,19,2.0,0.5077676423199209,0.053449225507360094,0.7145902658513985,1.0163402097218022,0.7991928152565908,0.9271054100309096,0.48990309716738034,0.0,0.0,0.0,0.25408505243045054,0.1997982038141477,0.0,0.0,0.0,0.0
2020-04-07,20,9.0,0.5344922550736009,0.24052151478312042,1.429180531702797,0.7622551572913516,1.1987892228848862,0.37084216401236386,0.32660206477825354,0.15150413303274912,0.0,0.7145902658513985,0.5081701048609011,0.7991928152565908,0.0,0.0,0.0,0.0
2020-04-08,20,6.0,0.5344922550736009,0.16034767652208026,1.6673772869865966,0.25408505243045054,1.5983856305131816,0.5562632460185458,0.16330103238912677,0.0,0.0,0.47639351056759904,0.25408505243045054,0.1997982038141477,0.18542108200618193,0.16330103238912677,0.0,0.0
2020-04-09,28,5.0,0.7482891571030413,0.13362306376840022,1.6673772869865966,1.2704252621522527,1.997982038141477,0.9271054100309096,0.16330103238912677,0.0,0.0,0.23819675528379952,0.0,0.3995964076282954,0.37084216401236386,0.0,0.0,0.0
2020-04-10,30,3.0,0.8017383826104014,0.08017383826104013,1.6673772869865966,2.5408505243045054,0.7991928152565908,1.6687897380556374,0.0,0.0,0.0,0.47639351056759904,0.0,0.1997982038141477,0.0,0.0,0.0,0.0
2020-04-11,29,2.0,0.7750137698567213,0.053449225507360094,0.9527870211351981,1.0163402097218022,1.5983856305131816,1.6687897380556374,0.48990309716738034,0.15150413303274912,0.0,0.0,0.25408505243045054,0.1997982038141477,0.0,0.0,0.0,0.0
2020-04-12,33,7.0,0.8819122208714415,0.18707228927576033,2.6201643081217947,1.5245103145827033,1.398587426699034,0.7416843280247277,0.8165051619456338,0.0,0.0,0.47639351056759904,0.5081701048609011,0.5993946114424431,0.0,0.0,0.0,0.0
2020-04-13,28,5.0,0.7482891571030413,0.13362306376840022,2.1437707975541955,1.0163402097218022,1.5983856305131816,0.9271054100309096,0.16330103238912677,0.15150413303274912,0.0,0.47639351056759904,0.25408505243045054,0.3995964076282954,0.0,0.0,0.0,0.0
2020-04-14,32,7.0,0.8551876081177615,0.18707228927576033,1.6673772869865966,1.2704252621522527,1.5983856305131816,1.8542108200618193,0.32660206477825354,0.0,0.0,0.7145902658513985,0.5081701048609011,0.3995964076282954,0.0,0.0,0.0,0.0
2020-04-15,43,11.0,1.149158348408242,0.2939707402904805,2.1437707975541955,2.794935576734956,1.7981838343273293,1.6687897380556374,0.6532041295565071,0.15150413303274912,0.0,0.7145902658513985,1.0163402097218022,0.5993946114424431,0.0,0.16330103238912677,0.0,0.0
2020-04-16,49,6.0,1.3095060249303223,0.16034767652208026,1.9055740422703962,4.065360838887209,1.997982038141477,2.2250529840741833,0.32660206477825354,0.15150413303274912,0.0,0.9527870211351981,0.25408505243045054,0.0,0.18542108200618193,0.0,0.0,0.0
2020-04-17,68,14.0,1.8172736672502432,0.37414457855152067,3.572951329256993,3.811275786456758,3.5963676686546586,2.2250529840741833,1.3064082591130142,0.0,0.0,1.6673772869865966,0.5081701048609011,0.5993946114424431,0.18542108200618193,0.16330103238912677,0.0,0.0
2020-04-18,64,12.0,1.710375216235523,0.3206953530441605,3.334754573973193,4.31944589131766,3.396569464840511,2.410474066080365,0.48990309716738034,0.0,0.0,0.9527870211351981,1.2704252621522527,0.3995964076282954,0.18542108200618193,0.0,0.0,0.0
2020-04-19,46,10.0,1.2293321866692821,0.26724612753680044,2.6201643081217947,1.5245103145827033,2.797174853398068,2.039631902068001,0.6532041295565071,0.0,0.0,1.6673772869865966,0.25408505243045054,0.1997982038141477,0.18542108200618193,0.0,0.0,0.0
2020-04-20,86,20.0,2.298316696816484,0.5344922550736009,4.049344839824592,5.843956205900362,5.594349706796136,2.595895148086547,0.6532041295565071,0.0,0.0,1.9055740422703962,0.5081701048609011,1.398587426699034,0.37084216401236386,0.16330103238912677,0.0,0.0
2020-04-21,47,26.0,1.2560567994229621,0.6948399315956812,1.9055740422703962,3.303105681595857,2.3975784457697724,2.039631902068001,0.0,0.45451239909824737,0.0,3.334754573973193,1.5245103145827033,0.5993946114424431,0.37084216401236386,0.16330103238912677,0.0,0.0
2020-04-22,74,14.0,1.9776213437723233,0.37414457855152067,3.334754573973193,3.5571907340263076,3.995964076282954,3.7084216401236385,0.9798061943347607,0.0,0.0,1.429180531702797,0.7622551572913516,0.7991928152565908,0.0,0.16330103238912677,0.0,0.0
2020-04-23,62,13.0,1.6569259907281628,0.3474199657978406,3.334754573973193,4.82761599617856,2.3975784457697724,2.2250529840741833,0.8165051619456338,0.0,0.0,1.1909837764189977,0.7622551572913516,0.7991928152565908,0.18542108200618193,0.0,0.0,0.0
2020-04-24,79,26.0,2.1112444075407235,0.6948399315956812,4.525738350392191,5.081701048609011,4.595358687725398,1.6687897380556374,1.1431072267238873,0.15150413303274912,0.0,2.858361063405594,2.0326804194436043,0.9989910190707385,0.18542108200618193,0.0,0.0,0.0
2020-04-25,76,17.0,2.0310705692796835,0.4543184168125608,3.8111480845407923,4.31944589131766,3.995964076282954,2.966737312098911,0.9798061943347607,0.15150413303274912,0.0,1.9055740422703962,1.0163402097218022,0.3995964076282954,0.5562632460185458,0.0,0.0,0.0
2020-04-26,51,19.0,1.3629552504376823,0.5077676423199209,3.572951329256993,2.0326804194436043,2.3975784457697724,2.039631902068001,0.6532041295565071,0.15150413303274912,0.0,2.858361063405594,1.0163402097218022,0.5993946114424431,0.0,0.0,0.0,0.0
2020-04-27,71,17.0,1.8974475055112832,0.4543184168125608,4.049344839824592,4.31944589131766,3.5963676686546586,2.7813162300927288,0.6532041295565071,0.0,0.0,1.1909837764189977,1.7785953670131538,0.9989910190707385,0.0,0.0,0.0,0.0
2020-04-28,62,20.0,1.6569259907281628,0.5344922550736009,4.525738350392191,2.5408505243045054,2.1977802419556247,3.3375794761112747,0.6532041295565071,0.0,0.0,1.9055740422703962,1.7785953670131538,0.9989910190707385,0.0,0.0,0.0,0.0
2020-04-29,65,22.0,1.737099828989203,0.587941480580961,2.858361063405594,3.5571907340263076,3.7961658724688063,2.966737312098911,0.6532041295565071,0.0,0.0,1.6673772869865966,2.286765471874055,0.7991928152565908,0.18542108200618193,0.16330103238912677,0.0,0.0
2020-04-30,74,19.0,1.9776213437723233,0.5077676423199209,4.049344839824592,2.794935576734956,3.995964076282954,3.8938427221298206,0.6532041295565071,0.15150413303274912,0.0,1.1909837764189977,1.2704252621522527,0.9989910190707385,0.7416843280247277,0.0,0.0,0.0
2020-05-01,108,31.0,2.886258177397445,0.8284629953640814,5.478525371527389,6.352126310761264,5.794147910610283,2.966737312098911,2.2862144534477746,0.15150413303274912,0.0,3.572951329256993,2.286765471874055,1.1987892228848862,0.0,0.16330103238912677,0.0,0.0
2020-05-02,80,20.0,2.1379690202944035,0.5344922550736009,4.287541595108391,3.811275786456758,3.396569464840511,2.966737312098911,1.7963113562803945,0.30300826606549824,0.16430937483569064,1.9055740422703962,0.7622551572913516,1.398587426699034,0.37084216401236386,0.0,0.0,0.0
