Fechas,Casos,Defunciones,Casospor100k,Defuncionespor100k,G60,G50,G40,G30,G20,G10,G00,D60,D50,D40,D30,D20,D10,D00
2020-03-08,1.0,0.0,0.028243122446645213,0.0,0.2254618586173777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,1.0,0.0,0.028243122446645213,0.0,0.0,0.0,0.0,0.0,0.18581903455862406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,1.0,0.0,0.028243122446645213,0.0,0.0,0.0,0.0,0.2173284680733614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,1.0,0.0,0.028243122446645213,0.0,0.0,0.0,0.0,0.2173284680733614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,1.0,0.0,0.028243122446645213,0.0,0.2254618586173777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,3.0,0.0,0.08472936733993564,0.0,0.2254618586173777,0.3095553546885254,0.0,0.0,0.18581903455862406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,1.0,0.0,0.028243122446645213,0.0,0.0,0.0,0.2500637662603964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,3.0,0.0,0.08472936733993564,0.0,0.2254618586173777,0.0,0.0,0.2173284680733614,0.18581903455862406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,2.0,0.0,0.056486244893290426,0.0,0.2254618586173777,0.0,0.2500637662603964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,2.0,0.0,0.056486244893290426,0.0,0.4509237172347554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,4.0,0.0,0.11297248978658085,0.0,0.6763855758521331,0.3095553546885254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,3.0,0.0,0.08472936733993564,0.0,0.0,0.3095553546885254,0.2500637662603964,0.2173284680733614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,1.0,1.0,0.028243122446645213,0.028243122446645213,0.0,0.0,0.2500637662603964,0.0,0.0,0.0,0.0,0.2254618586173777,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,3.0,0.0,0.08472936733993564,0.0,0.2254618586173777,0.3095553546885254,0.2500637662603964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,1.0,0.0,0.028243122446645213,0.0,0.0,0.0,0.0,0.0,0.18581903455862406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,1.0,0.0,0.028243122446645213,0.0,0.0,0.3095553546885254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
