Fechas,Casos,Defunciones,Casospor100k,Defuncionespor100k,G60,G50,G40,G30,G20,G10,G00,D60,D50,D40,D30,D20,D10,D00
2020-03-01,1.0,0.0,0.053821747753614806,0.0,0.7630558862131063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,1.0,0.0,0.053821747753614806,0.0,0.0,0.6205591237705173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,1.0,0.0,0.053821747753614806,0.0,0.0,0.0,0.0,0.0,0.0,0.3313123281317298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,2.0,0.0,0.10764349550722961,0.0,0.0,0.0,0.39404829455898116,0.2970841193683992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,3.0,0.0,0.1614652432608444,0.0,0.0,0.6205591237705173,0.39404829455898116,0.0,0.0,0.3313123281317298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,1.0,0.0,0.053821747753614806,0.0,0.0,0.6205591237705173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,3.0,0.0,0.1614652432608444,0.0,0.0,0.0,0.0,0.0,0.5723508739797846,0.3313123281317298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,4.0,0.0,0.21528699101445922,0.0,0.0,0.0,0.7880965891179623,0.5941682387367984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,6.0,0.0,0.3229304865216888,0.0,0.7630558862131063,0.6205591237705173,0.7880965891179623,0.2970841193683992,0.0,0.3313123281317298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,2.0,0.0,0.10764349550722961,0.0,0.0,0.0,0.39404829455898116,0.0,0.2861754369898923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,3.0,0.0,0.1614652432608444,0.0,0.0,1.8616773713115518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,7.0,0.0,0.37675223427530363,0.0,1.5261117724262125,1.2411182475410345,0.39404829455898116,0.2970841193683992,0.2861754369898923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,5.0,0.0,0.269108738768074,0.0,0.0,0.6205591237705173,1.1821448836769435,0.2970841193683992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,7.0,0.0,0.37675223427530363,0.0,0.0,0.6205591237705173,0.7880965891179623,0.8912523581051975,0.2861754369898923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
