,Casos,Defunciones,Casospor100k,Defpor100k,FECHAS
2020-02-27,1.0,0.0,0.06972124748044842,0.0,2020-02-27
2020-03-10,1.0,0.0,0.06972124748044842,0.0,2020-03-10
2020-03-13,1.0,0.0,0.06972124748044842,0.0,2020-03-13
2020-03-15,1.0,0.0,0.06972124748044842,0.0,2020-03-15
2020-03-16,1.0,0.0,0.06972124748044842,0.0,2020-03-16
2020-03-17,1.0,0.0,0.06972124748044842,0.0,2020-03-17
2020-03-18,2.0,1.0,0.13944249496089683,0.06972124748044842,2020-03-18
2020-03-19,1.0,0.0,0.06972124748044842,0.0,2020-03-19
2020-03-21,1.0,0.0,0.06972124748044842,0.0,2020-03-21
2020-03-23,5.0,0.0,0.3486062374022421,0.0,2020-03-23
2020-03-24,1.0,1.0,0.06972124748044842,0.06972124748044842,2020-03-24
2020-03-25,1.0,0.0,0.06972124748044842,0.0,2020-03-25
2020-03-27,1.0,0.0,0.06972124748044842,0.0,2020-03-27
2020-03-28,1.0,0.0,0.06972124748044842,0.0,2020-03-28
2020-03-29,1.0,0.0,0.06972124748044842,0.0,2020-03-29
2020-03-30,7.0,0.0,0.48804873236313895,0.0,2020-03-30
2020-03-31,1.0,1.0,0.06972124748044842,0.06972124748044842,2020-03-31
2020-04-01,1.0,1.0,0.06972124748044842,0.06972124748044842,2020-04-01
2020-04-03,4.0,0.0,0.27888498992179367,0.0,2020-04-03
2020-04-04,3.0,0.0,0.20916374244134525,0.0,2020-04-04
2020-04-05,2.0,0.0,0.13944249496089683,0.0,2020-04-05
2020-04-06,4.0,1.0,0.27888498992179367,0.06972124748044842,2020-04-06
2020-04-07,2.0,1.0,0.13944249496089683,0.06972124748044842,2020-04-07
2020-04-08,4.0,0.0,0.27888498992179367,0.0,2020-04-08
2020-04-09,1.0,0.0,0.06972124748044842,0.0,2020-04-09
2020-04-10,5.0,0.0,0.3486062374022421,0.0,2020-04-10
2020-04-13,1.0,0.0,0.06972124748044842,0.0,2020-04-13
2020-04-14,4.0,2.0,0.27888498992179367,0.13944249496089683,2020-04-14
2020-04-15,1.0,0.0,0.06972124748044842,0.0,2020-04-15
2020-04-16,6.0,0.0,0.4183274848826905,0.0,2020-04-16
2020-04-17,4.0,0.0,0.27888498992179367,0.0,2020-04-17
2020-04-18,4.0,0.0,0.27888498992179367,0.0,2020-04-18
2020-04-20,2.0,0.0,0.13944249496089683,0.0,2020-04-20
2020-04-21,3.0,0.0,0.20916374244134525,0.0,2020-04-21
2020-04-22,2.0,0.0,0.13944249496089683,0.0,2020-04-22
2020-04-23,4.0,0.0,0.27888498992179367,0.0,2020-04-23
2020-04-24,3.0,2.0,0.20916374244134525,0.13944249496089683,2020-04-24
2020-04-25,2.0,1.0,0.13944249496089683,0.06972124748044842,2020-04-25
2020-04-26,3.0,1.0,0.20916374244134525,0.06972124748044842,2020-04-26
2020-04-27,3.0,0.0,0.20916374244134525,0.0,2020-04-27
2020-04-28,3.0,0.0,0.20916374244134525,0.0,2020-04-28
2020-04-30,4.0,0.0,0.27888498992179367,0.0,2020-04-30
2020-05-01,19.0,0.0,1.32470370212852,0.0,2020-05-01
2020-05-02,11.0,0.0,0.7669337222849326,0.0,2020-05-02
2020-05-03,4.0,0.0,0.27888498992179367,0.0,2020-05-03
2020-05-04,8.0,1.0,0.5577699798435873,0.06972124748044842,2020-05-04
2020-05-05,17.0,1.0,1.1852612071676232,0.06972124748044842,2020-05-05
2020-05-06,16.0,0.0,1.1155399596871747,0.0,2020-05-06
2020-05-07,16.0,1.0,1.1155399596871747,0.06972124748044842,2020-05-07
2020-05-08,14.0,0.0,0.9760974647262779,0.0,2020-05-08
2020-05-09,17.0,1.0,1.1852612071676232,0.06972124748044842,2020-05-09
2020-05-10,8.0,1.0,0.5577699798435873,0.06972124748044842,2020-05-10
2020-05-11,23.0,1.0,1.6035886920503137,0.06972124748044842,2020-05-11
2020-05-12,26.0,0.0,1.8127524344916588,0.0,2020-05-12
2020-05-13,17.0,0.0,1.1852612071676232,0.0,2020-05-13
2020-05-14,22.0,0.0,1.5338674445698652,0.0,2020-05-14
2020-05-15,43.0,0.0,2.998013641659282,0.0,2020-05-15
2020-05-16,39.0,2.0,2.7191286517374884,0.13944249496089683,2020-05-16
