Dias,Casos Totales,Muertes,Incremento,Casos CDMX,Vel. CDMX,Casos EDO,Vel. EDO,Casos estimados,Activos estimados,hospitalizados_cdmx,Negativos,h_nac,hg_nac,vacunados,Activos-conf,Recuperados,Dosis-disp,completos,IRAG,Fecha,Una dosis,comentarios
1,1,0,1,1,1,0,0,,,1,22,0,0,,,0,,,,28/02/20,,
2,4,0,3,2,1,1,1,,,1,34,1,0,,,0,,,,29/02/20,,
3,5,0,1,2,0,1,0,,,1,60,1,0,,,0,,,,01/03/20,,
4,5,0,0,2,0,1,0,,,1,69,1,0,,,0,,,,02/03/20,,
5,5,0,0,2,0,1,0,,,1,75,1,0,,,0,,,,03/03/20,,
6,5,0,0,3,1,1,0,,,2,112,2,0,,,0,,,,04/03/20,,
7,5,0,0,3,0,1,0,,,2,143,2,0,,,0,,,,05/03/20,,
8,6,0,1,3,0,1,0,,,2,163,2,0,,,0,,,,06/03/20,,
9,7,0,1,4,1,1,0,,,2,186,2,0,,,0,,,,07/03/20,,
10,7,0,0,4,0,1,0,,,2,201,2,1,,,0,,,,08/03/20,,
11,7,0,0,4,0,1,0,,,2,218,2,1,,,0,,,,09/03/20,,
12,7,0,0,5,1,3,2,,,2,234,2,1,,,0,,,,10/03/20,,
13,11,0,4,6,1,3,0,,,3,264,5,2,,,0,,,,11/03/20,,
14,15,0,4,9,3,6,3,,,5,298,5,2,,,0,,,,12/03/20,,
15,26,0,11,11,2,13,7,,,7,344,8,2,,,1,,,,13/03/20,,
16,41,0,15,13,2,20,7,,,8,404,8,3,,,4,,,,14/03/20,,
17,53,0,12,15,2,26,6,,,8,482,12,4,,,5,,,,15/03/20,,
18,82,0,29,17,2,37,11,,,10,579,14,5,,,5,,,,16/03/20,,
19,93,0,11,22,5,43,6,,,13,672,25,10,,,5,,,,17/03/20,,
20,118,0,25,27,5,56,13,,,19,787,38,13,,,5,,,,18/03/20,,
21,164,1,46,39,12,66,10,,,21,921,71,21,,,4,,,,19/03/20,,
22,203,2,39,63,24,71,5,,,36,1111,84,36,,,4,,,,20/03/20,,
23,251,2,48,84,21,77,6,,,38,1463,125,38,,,5,,,,21/03/20,,
24,316,2,65,107,23,92,15,,,42,1667,149,37,,,5,,,,22/03/20,,
25,367,4,51,125,18,99,7,,,45,1865,225,33,,,3,,,,23/03/20,,
26,405,5,38,154,29,102,3,,,47,2161,348,78,,,2,,,,24/03/20,,
27,475,6,70,167,13,116,14,,,50,2445,357,152,,,5,,,,25/03/20,,
28,585,8,110,185,18,123,7,,,105,2156,421,223,,,7,,,,26/03/20,,
29,717,12,132,209,24,128,5,,,128,2475,498,212,,,14,,,,27/03/20,,
30,848,16,131,226,17,137,9,,,175,4341,581,229,,,25,,,,28/03/20,,
31,993,20,145,244,18,140,3,,,257,4955,678,339,,,33,,,,29/03/20,,
32,1094,28,101,256,12,144,4,,,258,5635,702,398,,,54,,,,30/03/20,,
33,1215,29,121,271,15,151,7,,,301,6282,799,394,,,64,,,,31/03/20,,
34,1378,37,163,285,14,158,7,,,313,7073,893,358,,,81,,,93,01/04/20,,
35,1510,50,132,299,14,160,2,,,359,7822,985,401,,,114,,,129,02/04/20,,
36,1688,60,178,332,33,172,12,,,361,8602,1121,441,,,143,,,129,03/04/20,,
37,1890,79,202,397,65,189,17,,,405,9467,1254,552,,,172,,,289,04/04/20,,
38,2143,94,253,492,95,233,44,,,434,10682,1269,559,,,222,,,304,05/04/20,,
39,2439,125,296,552,60,302,69,,,509,11741,1745,608,,,242,,,283,06/04/20,,
40,2785,141,346,653,101,374,72,,,559,15099,1623,702,,,264,,,483,07/04/20,,
41,3181,174,396,766,113,424,50,,,609,17209,1598,856,,,301,,,1070,08/04/20,,
42,3441,194,260,810,44,476,52,,,657,17950,1654,841,,,391,,,1383,09/04/20,,
43,3844,233,403,917,107,567,91,,,768,19749,1632,777,,,484,,,1381,10/04/20,,
44,4219,273,375,993,76,598,31,,,834,21277,1864,967,,,575,,,1622,11/04/20,,
45,4661,296,442,1173,180,653,55,,,910,21943,1943,1053,,,697,,,1752,12/04/20,,
46,5014,332,353,1266,93,704,51,,,997,23040,1987,1048,,,762,,,1847,13/04/20,,
47,5399,406,385,1374,108,759,55,,,1027,23900,2001,1157,,,809,,,1602,14/04/20,,
48,5847,449,448,1480,106,837,78,,,1110,25138,2090,1208,,,929,,,1705,15/04/20,,
49,6297,486,450,1592,112,903,66,,,1121,26511,2132,1387,,,1024,,,1792,16/04/20,,
50,6875,546,578,1804,212,1002,99,,,1255,28126,2165,1298,,,1142,,,2062,17/04/20,,
51,7497,650,622,1984,180,1071,69,,,1408,29301,2234,1338,,,1240,,,2264,18/04/20,,
52,8261,686,764,2232,248,1207,136,,,1548,31170,2145,1589,,,1457,,,2401,19/04/20,,
53,8772,712,511,2323,91,1258,51,,,1647,31945,2789,1697,,2965,1727,,,2690,20/04/20,,
54,9501,857,729,2459,136,1381,123,,,1706,33451,2983,1738,,3185,1928,,,3074,21/04/20,,
55,10544,970,1043,2815,356,1593,212,,,1878,35620,3115,1945,,3618,2211,,,2857,22/04/20,,
56,11633,1069,1089,3157,342,1734,141,,,1932,39664,3289,1935,,4127,2372,,,3340,23/04/20,,
57,12872,1221,1239,3532,375,1992,258,,,2064,41573,3378,2078,,4502,2623,,,3350,24/04/20,,
58,13842,1305,970,3764,232,2238,246,,,2162,43419,3350,2059,,4798,2914,,,3561,25/04/20,,
59,14677,1351,835,3966,202,2355,117,,,2445,45346,3358,2067,,4972,3310,,,3788,26/04/20,,
60,15529,1434,852,4152,186,2455,100,,,2572,48960,3337,1998,,5009,3580,,,4250,27/04/20,,
61,16752,1569,1223,4474,322,2722,267,,,2689,49033,3553,2195,,5329,3830,,,4675,28/04/20,,
62,17799,1732,1047,4782,308,2863,141,,,2679,50850,4006,2265,,5444,4115,,,5792,29/04/20,,
63,19224,1859,1425,5209,427,3130,267,,,2765,52628,4856,2395,,5912,4438,,,6140,30/04/20,,
64,20739,1972,1515,5548,339,3422,292,,,2900,55003,5488,2401,,6390,4903,,,6589,01/05/20,,
65,22088,2061,1349,6013,465,3615,193,,,3037,57167,5930,2462,,6580,5436,,,6649,02/05/20,,
66,23471,2154,1383,6417,404,3893,278,,,3096,59704,6026,2487,,6933,6107,,,6857,03/05/20,,
67,24905,2271,1434,6785,368,4202,309,,,3099,61933,6222,2532,,6696,6501,,,7029,04/05/20,,
68,26025,2507,1120,6999,214,4353,151,,,3201,63540,6461,2619,,6708,6994,,,7312,05/05/20,,
