Fechas,Casos,Defunciones,Casospor100k,Defpor100k,week
2020-03-01,7.0,0.0,0.0320675154968558,0.0,09-2020
2020-03-08,64.0,0.0,0.2931887131141109,0.0,10-2020
2020-03-15,301.0,0.0,1.378903166364804,0.0,11-2020
2020-03-22,498.0,2.0,2.281374673919178,0.0091621472848158,12-2020
2020-03-29,795.0,19.0,3.6419535457143506,0.0870403992057514,13-2020
2020-04-05,1370.0,68.0,6.276070890098944,0.3115130076837428,14-2020
2020-04-12,2424.0,183.0,11.104522509196965,0.8383364765606616,15-2020
2020-04-19,4205.0,356.0,19.26341466632559,1.6308622166972435,16-2020
2020-04-26,5628.0,804.0,25.782282459472157,3.6831832084960223,17-2020
2020-05-03,6937.0,1258.0,31.778907857384215,5.762990642149249,18-2020
2020-05-10,8703.0,1522.0,39.86908390987672,6.972394083744957,19-2020
2020-05-17,9208.0,1827.0,42.18252609929276,8.369621544679394,20-2020
2020-05-24,10031.0,1835.0,45.952749706994524,8.406270133818659,21-2020
2020-05-31,9818.0,1817.0,44.97698102116163,8.323810808255315,22-2020
2020-06-07,10421.0,1708.0,47.73936842753365,7.824473781232844,23-2020
