vacunados,Dosis-disp,completos,Fecha,Una dosis,date,strfecha,new_vaccines,smooth,Por100
2924.0,2925.0,0.0,24/12/20,2924.0,2020-12-24,2020-12-24,2924.0,1609.4379960462077,0.0023203766590296332
2924.0,2925.0,0.0,25/12/20,2924.0,2020-12-25,2020-12-25,0.0,1794.5705790884435,0.0023203766590296332
2924.0,45825.0,0.0,26/12/20,2924.0,2020-12-26,2020-12-26,0.0,2244.4299299436093,0.0023203766590296332
6824.0,45825.0,0.0,27/12/20,6824.0,2020-12-27,2020-12-27,3900.0,3025.010411092037,0.005415270287694328
10724.0,45825.0,0.0,28/12/20,10724.0,2020-12-28,2020-12-28,3900.0,3953.6310161118945,0.008510163916359023
19809.0,45825.0,0.0,29/12/20,19809.0,2020-12-29,2020-12-29,9085.0,4773.449307304334,0.015719678946209986
26462.0,53625.0,0.0,30/12/20,26462.0,2020-12-30,2020-12-30,6653.0,5131.072105131803,0.020999250051724403
31925.0,53625.0,0.0,31/12/20,31925.0,2020-12-31,2020-12-31,5463.0,4950.545762399147,0.02533448181926164
31925.0,53625.0,0.0,01/01/21,31925.0,2021-01-01,2021-01-01,0.0,4467.666184889891,0.02533448181926164
36570.0,53625.0,0.0,02/01/21,36570.0,2021-01-02,2021-01-02,4645.0,4041.335093242889,0.02902057948724818
40534.0,53625.0,0.0,03/01/21,40538.0,2021-01-03,2021-01-03,3964.0,3897.760973796557,0.032166261113921735
44536.0,53625.0,0.0,04/01/21,44534.0,2021-01-04,2021-01-04,4002.0,4034.1055563349,0.035342098114413044
48593.0,107250.0,0.0,05/01/21,48593.0,2021-01-05,2021-01-05,4057.0,4401.260579533436,0.03856158105069322
53345.0,107250.0,0.0,06/01/21,53345.0,2021-01-06,2021-01-06,4752.0,4933.578734339709,0.04233258990285081
58402.0,107250.0,0.0,07/01/21,58402.0,2021-01-07,2021-01-07,5057.0,5588.060126693382,0.04634563530801937
67468.0,107250.0,0.0,08/01/21,67468.0,2021-01-08,2021-01-08,9066.0,6161.088566788036,0.05354007265096145
74794.0,107250.0,0.0,09/01/21,74794.0,2021-01-09,2021-01-09,7326.0,8034.364519594069,0.05935371129803775
81300.0,107250.0,0.0,10/01/21,81300.0,2021-01-10,2021-01-10,6506.0,12797.86653841045,0.06451662872062557
87060.0,107250.0,0.0,11/01/21,87060.0,2021-01-11,2021-01-11,5760.0,22114.849714881686,0.06908754854142266
92879.0,546975.0,0.0,12/01/21,92879.0,2021-01-12,2021-01-12,5819.0,36786.591541757174,0.07370528854788416
192567.0,549975.0,0.0,13/01/21,192567.0,2021-01-13,2021-01-13,99688.0,53579.86083837842,0.15281394394642933
329983.0,549975.0,0.0,14/01/21,329983.0,2021-01-14,2021-01-14,137416.0,66248.43562705346,0.2618621241711954
415417.0,549975.0,1958.0,15/01/21,415417.0,2021-01-15,2021-01-15,85434.0,68584.94036129696,0.3296593401382056
463246.0,549975.0,2221.0,16/01/21,461025.0,2021-01-16,2021-01-16,47829.0,59876.77776122072,0.36761463946266804
468708.0,549975.0,3484.0,17/01/21,468708.0,2021-01-17,2021-01-17,5462.0,45672.51453216456,0.3719490776677364
492529.0,549975.0,6546.0,18/01/21,485983.0,2021-01-18,2021-01-18,23821.0,32543.979857437826,0.3908525292391266
498122.0,766350.0,9609.0,19/01/21,488513.0,2021-01-19,2021-01-19,5593.0,24357.642105821385,0.3952909241276193
501030.0,766350.0,11402.0,20/01/21,489628.0,2021-01-20,2021-01-20,2908.0,22209.863294911815,0.39759860378714673
552335.0,766350.0,18018.0,21/01/21,534317.0,2021-01-21,2021-01-21,51305.0,24015.071536681022,0.4383123262534652
594725.0,766350.0,22472.0,22/01/21,594725.0,2021-01-22,2021-01-22,42390.0,25786.781046028897,0.47195143930964384
618768.0,766350.0,22472.0,23/01/21,596296.0,2021-01-23,2021-01-23,24043.0,25016.215161383727,0.49103106174912725
629626.0,766350.0,25185.0,24/01/21,604441.0,2021-01-24,2021-01-24,10858.0,21276.012281406063,0.4996475630363173
642105.0,766350.0,28715.0,25/01/21,616390.0,2021-01-25,2021-01-25,12479.0,16477.633555058757,0.5095504290855755
652319.0,766350.0,31314.0,26/01/21,621005.0,2021-01-26,2021-01-26,10214.0,12041.781007329146,0.5176558761428014
656044.0,766350.0,31314.0,27/01/21,624730.0,2021-01-27,2021-01-27,3725.0,8439.82068269959,0.5206118963394106
657842.0,766350.0,31314.0,28/01/21,626528.0,2021-01-28,2021-01-28,1798.0,6224.638071933432,0.5220387216584719
662217.0,766350.0,31397.0,29/01/21,630820.0,2021-01-29,2021-01-29,4375.0,5068.050681278268,0.5255105574598586
670307.0,766350.0,39009.0,30/01/21,631298.0,2021-01-30,2021-01-30,8090.0,4582.885095091015,0.5319304778331656
673327.0,766350.0,41842.0,31/01/21,631485.0,2021-01-31,2021-01-31,3020.0,4365.343909634562,0.5343270364892085
675202.0,766350.0,43455.0,01/02/21,631747.0,2021-02-01,2021-02-01,1875.0,4379.73305471846,0.5358149661183742
677539.0,766350.0,45748.0,02/02/21,631791.0,2021-02-02,2021-02-02,2337.0,4802.364898386891,0.5376695216081664
686601.0,766350.0,54162.0,03/02/21,632439.0,2021-02-03,2021-02-03,9062.0,5477.79338931496,0.5448607847012329
695088.0,766350.0,60742.0,04/02/21,634346.0,2021-02-04,2021-02-04,8487.0,6146.56512165307,0.5515957493746887
700316.0,766350.0,64246.0,05/02/21,636070.0,2021-02-05,2021-02-05,5228.0,6513.59312204115,0.5557444939620371
710198.0,766350.0,73100.0,06/02/21,637098.0,2021-02-06,2021-02-06,9882.0,6411.205444263787,0.5635864782795921
713517.0,766350.0,75836.0,07/02/21,637681.0,2021-02-07,2021-02-07,3319.0,5881.508275794231,0.5662203121138326
717820.0,766350.0,79429.0,08/02/21,638391.0,2021-02-08,2021-02-08,4303.0,5063.631874422695,0.5696350114174594
724347.0,766350.0,84218.0,09/02/21,640115.0,2021-02-09,2021-02-09,6527.0,4053.624835498792,0.5748145936518938
724707.0,766350.0,84592.0,10/02/21,640115.0,2021-02-10,2021-02-10,360.0,3001.88772651558,0.5751002761406937
725447.0,766350.0,85332.0,11/02/21,640115.0,2021-02-11,2021-02-11,740.0,2398.8866565969256,0.5756875123676711
726002.0,766350.0,85887.0,12/02/21,640125.0,2021-02-12,2021-02-12,555.0,4879.781512952527,0.5761279395379041
726313.0,766350.0,86198.0,13/02/21,663484.0,2021-02-13,2021-02-13,311.0,12351.770065300472,0.5763747374657284
726313.0,1379625.0,86198.0,14/02/21,829185.0,2021-02-14,2021-02-14,0.0,29606.02745241877,0.5763747374657284
749682.0,1379625.0,86198.0,15/02/21,958473.0,2021-02-15,2021-02-15,23369.0,58591.89289932696,0.594919498801181
915383.0,2239625.0,86198.0,16/02/21,968838.0,2021-02-16,2021-02-16,165701.0,95299.28607705086,0.726413593458455
1058139.0,2239625.0,99666.0,17/02/21,1005227.0,2021-02-17,2021-02-17,142756.0,131278.2992852615,0.8396993972670851
1318055.0,2639625.0,249217.0,18/02/21,1210886.0,2021-02-18,2021-02-18,259916.0,154907.02654200644,1.045958979930678
1574158.0,2639625.0,418931.0,19/02/21,1236103.0,2021-02-19,2021-02-19,256103.0,157568.7450734717,1.2491927089003998
1656304.0,2639625.0,445418.0,20/02/21,1277187.0,2021-02-20,2021-02-20,82146.0,140193.9284764186,1.314380691469705
1689158.0,2839625.0,453055.0,21/02/21,1336854.0,2021-02-21,2021-02-21,32854.0,114773.62025087423,1.340452392822564
1733404.0,2839625.0,456217.0,22/02/21,1425395.0,2021-02-22,2021-02-22,44246.0,95545.50600394252,1.3755643578209993
1801156.0,2839625.0,464302.0,23/02/21,1562401.0,2021-02-23,2021-02-23,67752.0,92153.54360057683,1.4293298022131251
1900784.0,3039625.0,475389.0,24/02/21,1708721.0,2021-02-24,2021-02-24,99628.0,101741.43236278118,1.508390843863537
2088813.0,3039625.0,526412.0,25/02/21,1718034.0,2021-02-25,2021-02-25,188029.0,115843.11703797028,1.6576036013261508
2271032.0,3039625.0,562311.0,26/02/21,1818034.0,2021-02-26,2021-02-26,182219.0,124091.53894125587,1.8022057608445232
2383411.0,3839625.0,565377.0,27/02/21,1959525.0,2021-02-27,2021-02-27,112379.0,119957.19456732733,1.8913855175357308
2455095.0,3839625.0,565423.0,28/02/21,2012853.0,2021-02-28,2021-02-28,71684.0,105593.51382663735,1.9482712495555257
2526863.0,3839625.0,583896.0,01/03/21,2043941.0,2021-03-01,2021-03-01,71768.0,87816.22629547429,2.0052236408227073
2583435.0,4691775.0,587995.0,02/03/21,2085152.0,2021-03-02,2021-03-02,56572.0,71918.05164919417,2.050117056812661
2633580.0,4691775.0,589639.0,03/03/21,2128766.0,2021-03-03,2021-03-03,50145.0,59803.778422608106,2.089910246815069
2676035.0,4691775.0,590883.0,04/03/21,2162358.0,2021-03-04,2021-03-04,42455.0,52033.16725146,2.123600941431725
2731900.0,4691775.0,603134.0,05/03/21,2189790.0,2021-03-05,2021-03-05,55865.0,50565.569251518165,2.1679333087561745
2765805.0,4691775.0,603447.0,06/03/21,2245291.0,2021-03-06,2021-03-06,33905.0,58841.562710035934,2.1948390442638352
2793106.0,4691775.0,603636.0,07/03/21,2495067.0,2021-03-07,2021-03-07,27301.0,80907.63215847129,2.216504093226957
2849630.0,4691775.0,604339.0,08/03/21,2882000.0,2021-03-08,2021-03-08,56524.0,119778.55896704759,2.261359418218404
3100868.0,5292375.0,605801.0,09/03/21,3072380.0,2021-03-09,2021-03-09,251238.0,169745.13080802007,2.460732465776984
3488118.0,5429375.0,606622.0,10/03/21,3295671.0,2021-03-10,2021-03-10,387250.0,214799.62289055897,2.76803953185401
3779969.0,5492375.0,607589.0,11/03/21,3504420.0,2021-03-11,2021-03-11,291851.0,238205.68200436348,2.999641531961554
4005131.0,5492376.0,609640.0,12/03/21,3730045.0,2021-03-12,2021-03-12,225162.0,234555.05134240238,3.1783216445813998
4214494.0,6492375.0,609874.0,13/03/21,3794719.0,2021-03-13,2021-03-13,209363.0,211003.91002341444,3.3444642637552784
4339926.0,6492376.0,609881.0,14/03/21,3920889.0,2021-03-14,2021-03-14,125432.0,181585.03946602676,3.4440023913528863
4404608.0,6492377.0,609889.0,15/03/21,4110741.0,2021-03-15,2021-03-15,64682.0,160163.61570738125,3.4953315989655245
4530784.0,7160250.0,609895.0,16/03/21,4300720.0,2021-03-16,2021-03-16,126176.0,156003.33050503506,3.5954601370399852
