index,Casos,Defunciones,Casospor100k,Defpor100k,week
2020-02-23,6.0,0.0,0.027486441854447603,0.0,08-2020
2020-03-01,15.0,0.0,0.06871610463611941,0.0,09-2020
2020-03-08,64.0,0.0,0.2931887131141109,0.0,10-2020
2020-03-15,301.0,0.0,1.378903166364804,0.0,11-2020
2020-03-22,498.0,2.0,2.281374673919178,0.0091621472848158,12-2020
2020-03-29,795.0,19.0,3.6419535457143506,0.0870403992057514,13-2020
2020-04-05,1370.0,68.0,6.276070890098944,0.3115130076837428,14-2020
2020-04-12,2424.0,183.0,11.104522509196965,0.8383364765606616,15-2020
2020-04-19,4207.0,356.0,19.272576813610407,1.6308622166972435,16-2020
2020-04-26,5634.0,805.0,25.809768901326606,3.6877642821384304,17-2020
2020-05-03,6937.0,1265.0,31.778907857384215,5.795058157646105,18-2020
2020-05-10,8703.0,1522.0,39.86908390987672,6.972394083744957,19-2020
2020-05-17,9209.0,1826.0,42.187107172935164,8.365040471036986,20-2020
2020-05-24,10030.0,1837.0,45.94816863335212,8.415432281103474,21-2020
2020-05-31,9819.0,1818.0,44.98156209480403,8.328391881897723,22-2020
2020-06-07,10430.0,1708.0,47.780598090315316,7.824473781232844,23-2020
2020-06-14,8912.0,1672.0,40.82652830113999,7.659555130106156,24-2020
2020-06-21,9029.0,1392.0,41.362513917301726,6.37685451023192,25-2020
2020-06-28,8144.0,1063.0,37.30826374377065,4.869681281879691,26-2020
2020-07-05,9092.0,1089.0,41.651121556773425,4.9887891965822995,27-2020
2020-07-12,8682.0,1010.0,39.772881363386155,4.626884378832068,28-2020
2020-07-19,9592.0,962.0,43.941658377977426,4.406992843996484,29-2020
2020-07-26,9307.0,821.0,42.63605238989115,3.761061460416958,30-2020
2020-08-02,8737.0,765.0,40.02484041371859,3.504521336442111,31-2020
2020-08-09,7760.0,775.0,35.54913146508599,3.550332072866191,32-2020
2020-08-16,8839.0,699.0,40.49210992524421,3.2021704760431837,33-2020
2020-08-23,9545.0,694.0,43.72634791678425,3.1792651078311436,34-2020
2020-08-30,9885.0,639.0,45.283912955202965,2.927306057498704,35-2020
2020-09-06,10033.0,673.0,45.96191185427935,3.0830625613405758,36-2020
2020-09-13,8482.0,629.0,38.856666634904556,2.8814953210746244,37-2020
2020-09-20,9191.0,638.0,42.10464784737182,2.922724983856296,38-2020
2020-09-27,8431.0,630.0,38.62303187914175,2.8860763947170325,39-2020
2020-10-04,8765.0,582.0,40.153110475706015,2.666184859881449,40-2020
2020-10-11,9734.0,599.0,44.592170835199354,2.744063111802385,41-2020
2020-10-18,10923.0,582.0,50.03906739602245,2.666184859881449,42-2020
2020-10-25,12907.0,654.0,59.1279175025599,2.996022162134824,43-2020
2020-11-01,12827.0,654.0,58.76143161116726,2.996022162134824,44-2020
2020-11-08,13388.0,726.0,61.33141392455815,3.3258594643881993,45-2020
2020-11-15,15131.0,820.0,69.31622528327527,3.7564803867745504,46-2020
2020-11-22,18232.0,935.0,83.52213464838245,4.283303855651469,47-2020
2020-11-29,23109.0,1031.0,105.8640308024062,4.723086925322636,48-2020
2020-12-06,35200.0,1184.0,161.2537922127612,5.423991192611058,49-2020
2020-12-13,38508.0,1518.0,176.4079838218468,6.9540697891753265,50-2020
2020-12-20,38350.0,1812.0,175.68417418634635,8.300905440043275,51-2020
2020-12-27,33250.0,2060.0,152.32069861006562,9.437011703360456,52-2020
2021-01-03,39435.0,2314.0,180.654639088359,10.600604408532085,01-2021
2021-01-10,49257.0,2524.0,225.6499444040903,11.562629873437762,02-2021
2021-01-17,44363.0,2742.0,203.23016999814558,12.561303927482705,03-2021
2021-01-24,39138.0,2888.0,179.29406021656385,13.230140679274271,04-2021
